fantasy-us-central-gamesvr-01-master-25-8099-30031,34.110.237.149:8099,fantasy-us-central-gamesvr-01-master-25,34.132.26.242:30031,HEALTHY
fantasy-us-central-gamesvr-01-master-26-8099-30031,34.149.81.133:8099,fantasy-us-central-gamesvr-01-master-26,34.173.141.91:30031,UNHEALTHY
fantasy-us-central-gamesvr-01-master-26-8099-30031,34.111.150.211:8099,fantasy-us-central-gamesvr-01-master-26,34.173.141.91:30031,UNHEALTHY
fantasy-us-central-gamesvr-01-master-27-8099-30031,34.111.195.22:8099,fantasy-us-central-gamesvr-01-master-27,35.224.90.109:30031,HEALTHY
fantasy-us-central-gamesvr-01-master-27-8099-30031,34.120.64.0:8099,fantasy-us-central-gamesvr-01-master-27,35.224.90.109:30031,HEALTHY
fantasy-us-central-gamesvr-01-master-28-8099-30031,34.117.87.169:8099,fantasy-us-central-gamesvr-01-master-28,35.188.142.64:30031,UNHEALTHY
fantasy-us-central-gamesvr-01-master-28-8099-30031,34.149.121.102:8099,fantasy-us-central-gamesvr-01-master-28,35.188.142.64:30031,UNHEALTHY
fantasy-us-central-gamesvr-01-master-29-8099-30031,34.96.88.236:8099,fantasy-us-central-gamesvr-01-master-29,35.223.133.253:30031,HEALTHY
fantasy-us-central-gamesvr-01-master-29-8099-30031,34.111.87.89:8099,fantasy-us-central-gamesvr-01-master-29,35.223.133.253:30031,HEALTHY
fantasy-us-central-gamesvr-01-master-3-8099-30031,34.111.55.72:8099,fantasy-us-central-gamesvr-01-master-3,34.173.32.109:30031,HEALTHY
fantasy-us-central-gamesvr-01-master-3-8099-30031,35.190.7.28:8099,fantasy-us-central-gamesvr-01-master-3,34.173.32.109:30031,HEALTHY
fantasy-us-central-gamesvr-01-master-30-8099-30031,34.111.212.223:8099,fantasy-us-central-gamesvr-01-master-30,34.170.234.237:30031,UNHEALTHY
fantasy-us-central-gamesvr-01-master-30-8099-30031,34.98.82.70:8099,fantasy-us-central-gamesvr-01-master-30,34.170.234.237:30031,UNHEALTHY
fantasy-us-central-gamesvr-01-master-31-8099-30031,34.160.124.28:8099,fantasy-us-central-gamesvr-01-master-31,34.172.128.14:30031,HEALTHY
fantasy-us-central-gamesvr-01-master-31-8099-30031,34.149.107.114:8099,fantasy-us-central-gamesvr-01-master-31,34.172.128.14:30031,HEALTHY
fantasy-us-central-gamesvr-01-master-32-8099-30031,34.120.213.209:8099,fantasy-us-central-gamesvr-01-master-32,34.66.85.1:30031,UNHEALTHY
fantasy-us-central-gamesvr-01-master-32-8099-30031,34.102.196.78:8099,fantasy-us-central-gamesvr-01-master-32,34.66.85.1:30031,UNHEALTHY
fantasy-us-central-gamesvr-01-master-33-8099-30031,34.120.231.48:8099,fantasy-us-central-gamesvr-01-master-33,34.122.24.101:30031,HEALTHY
fantasy-us-central-gamesvr-01-master-33-8099-30031,35.186.248.221:8099,fantasy-us-central-gamesvr-01-master-33,34.122.24.101:30031,HEALTHY
fantasy-us-central-gamesvr-01-master-34-8099-30031,34.110.135.123:8099,fantasy-us-central-gamesvr-01-master-34,34.173.158.159:30031,UNHEALTHY
fantasy-us-central-gamesvr-01-master-34-8099-30031,34.120.206.105:8099,fantasy-us-central-gamesvr-01-master-34,34.173.158.159:30031,UNHEALTHY
fantasy-us-central-gamesvr-01-master-35-8099-30031,35.227.241.45:8099,fantasy-us-central-gamesvr-01-master-35,34.66.211.138:30031,HEALTHY
fantasy-us-central-gamesvr-01-master-35-8099-30031,34.111.247.0:8099,fantasy-us-central-gamesvr-01-master-35,34.66.211.138:30031,HEALTHY
fantasy-us-central-gamesvr-01-master-36-8099-30031,34.117.45.163:8099,fantasy-us-central-gamesvr-01-master-36,34.172.242.112:30031,UNHEALTHY
fantasy-us-central-gamesvr-01-master-36-8099-30031,34.111.125.82:8099,fantasy-us-central-gamesvr-01-master-36,34.172.242.112:30031,UNHEALTHY
fantasy-us-central-gamesvr-01-master-37-8099-30031,34.107.237.146:8099,fantasy-us-central-gamesvr-01-master-37,34.134.54.47:30031,HEALTHY
fantasy-us-central-gamesvr-01-master-37-8099-30031,34.149.118.20:8099,fantasy-us-central-gamesvr-01-master-37,34.134.54.47:30031,HEALTHY
fantasy-us-central-gamesvr-01-master-38-8099-30031,35.201.110.187:8099,fantasy-us-central-gamesvr-01-master-38,34.67.195.240:30031,UNHEALTHY
fantasy-us-central-gamesvr-01-master-38-8099-30031,34.96.74.90:8099,fantasy-us-central-gamesvr-01-master-38,34.67.195.240:30031,UNHEALTHY
